,Ymin,Xmin,Ymax,Xmax,id,name,mask
21,142.4,68.8,415.5,161.0,10.0,output/garrafa_2/aum_(10).png,output/garrafa_2/aum_mask_(10).png
22,92.0,84.0,405.0,190.0,11.0,images/garrafa_2/garrafa2(11).png,output/garrafa_2/mask_(11).png
23,65.7,168.2,256.7,232.9,11.0,output/garrafa_2/aum_(11).png,output/garrafa_2/aum_mask_(11).png
24,94.0,89.0,413.0,195.0,12.0,images/garrafa_2/garrafa2(12).png,output/garrafa_2/mask_(12).png
25,335.3,135.7,475.6,182.3,12.0,output/garrafa_2/aum_(12).png,output/garrafa_2/aum_mask_(12).png
26,99.0,91.0,426.0,200.0,13.0,images/garrafa_2/garrafa2(13).png,output/garrafa_2/mask_(13).png
27,236.6,207.8,331.4,239.4,13.0,output/garrafa_2/aum_(13).png,output/garrafa_2/aum_mask_(13).png
28,101.0,97.0,421.0,205.0,14.0,images/garrafa_2/garrafa2(14).png,output/garrafa_2/mask_(14).png
29,155.6,81.6,395.6,162.6,14.0,output/garrafa_2/aum_(14).png,output/garrafa_2/aum_mask_(14).png
30,98.0,103.0,420.0,212.0,15.0,images/garrafa_2/garrafa2(15).png,output/garrafa_2/mask_(15).png
31,94.8,80.9,374.9,175.8,15.0,output/garrafa_2/aum_(15).png,output/garrafa_2/aum_mask_(15).png
32,98.0,109.0,423.0,219.0,16.0,images/garrafa_2/garrafa2(16).png,output/garrafa_2/mask_(16).png
33,18.1,97.4,281.3,186.5,16.0,output/garrafa_2/aum_(16).png,output/garrafa_2/aum_mask_(16).png
34,94.0,115.0,420.0,226.0,17.0,images/garrafa_2/garrafa2(17).png,output/garrafa_2/mask_(17).png
35,58.8,148.5,362.0,251.7,17.0,output/garrafa_2/aum_(17).png,output/garrafa_2/aum_mask_(17).png
36,85.0,118.0,417.0,229.0,18.0,images/garrafa_2/garrafa2(18).png,output/garrafa_2/mask_(18).png
37,170.0,202.5,299.5,245.8,18.0,output/garrafa_2/aum_(18).png,output/garrafa_2/aum_mask_(18).png
38,76.0,119.0,409.0,231.0,19.0,images/garrafa_2/garrafa2(19).png,output/garrafa_2/mask_(19).png
39,166.5,216.9,296.4,260.6,19.0,output/garrafa_2/aum_(19).png,output/garrafa_2/aum_mask_(19).png
40,57.0,121.0,404.0,236.0,20.0,images/garrafa_2/garrafa2(20).png,output/garrafa_2/mask_(20).png
41,276.0,223.4,400.9,264.8,20.0,output/garrafa_2/aum_(20).png,output/garrafa_2/aum_mask_(20).png
42,54.0,121.0,394.0,236.0,21.0,images/garrafa_2/garrafa2(21).png,output/garrafa_2/mask_(21).png
43,248.9,155.5,469.9,230.2,21.0,output/garrafa_2/aum_(21).png,output/garrafa_2/aum_mask_(21).png
44,28.0,122.0,380.0,239.0,22.0,images/garrafa_2/garrafa2(22).png,output/garrafa_2/mask_(22).png
45,182.3,182.6,340.7,235.3,22.0,output/garrafa_2/aum_(22).png,output/garrafa_2/aum_mask_(22).png
46,34.0,124.0,386.0,239.0,23.0,images/garrafa_2/garrafa2(23).png,output/garrafa_2/mask_(23).png
47,227.8,180.8,403.8,238.2,23.0,output/garrafa_2/aum_(23).png,output/garrafa_2/aum_mask_(23).png
48,42.0,125.0,387.0,240.0,24.0,images/garrafa_2/garrafa2(24).png,output/garrafa_2/mask_(24).png
49,43.6,179.9,243.7,246.6,24.0,output/garrafa_2/aum_(24).png,output/garrafa_2/aum_mask_(24).png
50,43.0,123.0,396.0,243.0,25.0,images/garrafa_2/garrafa2(25).png,output/garrafa_2/mask_(25).png
51,96.0,172.6,389.0,272.2,25.0,output/garrafa_2/aum_(25).png,output/garrafa_2/aum_mask_(25).png
52,67.0,122.0,413.0,242.0,26.0,images/garrafa_2/garrafa2(26).png,output/garrafa_2/mask_(26).png
53,119.6,184.0,375.7,272.8,26.0,output/garrafa_2/aum_(26).png,output/garrafa_2/aum_mask_(26).png
54,97.0,118.0,430.0,236.0,27.0,images/garrafa_2/garrafa2(27).png,output/garrafa_2/mask_(27).png
55,70.1,103.1,386.5,215.2,27.0,output/garrafa_2/aum_(27).png,output/garrafa_2/aum_mask_(27).png
56,112.0,117.0,440.0,234.0,28.0,images/garrafa_2/garrafa2(28).png,output/garrafa_2/mask_(28).png
57,228.5,164.4,533.6,273.2,28.0,output/garrafa_2/aum_(28).png,output/garrafa_2/aum_mask_(28).png
58,118.0,128.0,446.0,244.0,29.0,images/garrafa_2/garrafa2(29).png,output/garrafa_2/mask_(29).png
59,242.4,199.9,481.8,284.6,29.0,output/garrafa_2/aum_(29).png,output/garrafa_2/aum_mask_(29).png
60,126.0,135.0,442.0,254.0,30.0,images/garrafa_2/garrafa2(30).png,output/garrafa_2/mask_(30).png
61,204.8,154.1,413.4,232.7,30.0,output/garrafa_2/aum_(30).png,output/garrafa_2/aum_mask_(30).png
62,137.0,139.0,447.0,258.0,31.0,images/garrafa_2/garrafa2(31).png,output/garrafa_2/mask_(31).png
63,265.1,85.3,488.3,171.0,31.0,output/garrafa_2/aum_(31).png,output/garrafa_2/aum_mask_(31).png
64,156.0,149.0,453.0,259.0,32.0,images/garrafa_2/garrafa2(32).png,output/garrafa_2/mask_(32).png
65,268.7,196.6,384.6,239.5,32.0,output/garrafa_2/aum_(32).png,output/garrafa_2/aum_mask_(32).png
66,168.0,158.0,464.0,267.0,33.0,images/garrafa_2/garrafa2(33).png,output/garrafa_2/mask_(33).png
67,75.7,88.4,339.1,185.4,33.0,output/garrafa_2/aum_(33).png,output/garrafa_2/aum_mask_(33).png
68,181.0,171.0,474.0,279.0,34.0,images/garrafa_2/garrafa2(34).png,output/garrafa_2/mask_(34).png
69,246.1,182.0,401.4,239.2,34.0,output/garrafa_2/aum_(34).png,output/garrafa_2/aum_mask_(34).png
70,192.0,186.0,478.0,294.0,35.0,images/garrafa_2/garrafa2(35).png,output/garrafa_2/mask_(35).png
71,176.2,138.5,439.3,237.8,35.0,output/garrafa_2/aum_(35).png,output/garrafa_2/aum_mask_(35).png
72,197.0,190.0,485.0,298.0,36.0,images/garrafa_2/garrafa2(36).png,output/garrafa_2/mask_(36).png
73,209.1,142.5,482.7,245.1,36.0,output/garrafa_2/aum_(36).png,output/garrafa_2/aum_mask_(36).png
74,199.0,195.0,495.0,304.0,37.0,images/garrafa_2/garrafa2(37).png,output/garrafa_2/mask_(37).png
75,361.3,239.7,479.7,283.3,37.0,output/garrafa_2/aum_(37).png,output/garrafa_2/aum_mask_(37).png
76,204.0,196.0,507.0,305.0,38.0,images/garrafa_2/garrafa2(38).png,output/garrafa_2/mask_(38).png
77,151.5,201.4,424.2,299.4,38.0,output/garrafa_2/aum_(38).png,output/garrafa_2/aum_mask_(38).png
78,207.0,197.0,512.0,308.0,39.0,images/garrafa_2/garrafa2(39).png,output/garrafa_2/mask_(39).png
79,263.9,165.2,449.9,232.9,39.0,output/garrafa_2/aum_(39).png,output/garrafa_2/aum_mask_(39).png
80,210.0,193.0,524.0,307.0,40.0,images/garrafa_2/garrafa2(40).png,output/garrafa_2/mask_(40).png
81,287.0,160.8,434.6,214.4,40.0,output/garrafa_2/aum_(40).png,output/garrafa_2/aum_mask_(40).png
82,206.0,185.0,532.0,301.0,41.0,images/garrafa_2/garrafa2(41).png,output/garrafa_2/mask_(41).png
83,153.2,170.6,280.4,215.9,41.0,output/garrafa_2/aum_(41).png,output/garrafa_2/aum_mask_(41).png
84,187.0,176.0,535.0,293.0,42.0,images/garrafa_2/garrafa2(42).png,output/garrafa_2/mask_(42).png
85,223.7,127.5,425.5,195.3,42.0,output/garrafa_2/aum_(42).png,output/garrafa_2/aum_mask_(42).png
86,173.0,162.0,531.0,280.0,43.0,images/garrafa_2/garrafa2(43).png,output/garrafa_2/mask_(43).png
87,269.9,146.1,359.4,175.6,43.0,output/garrafa_2/aum_(43).png,output/garrafa_2/aum_mask_(43).png
88,162.0,150.0,527.0,269.0,44.0,images/garrafa_2/garrafa2(44).png,output/garrafa_2/mask_(44).png
89,297.1,203.2,585.4,297.2,44.0,output/garrafa_2/aum_(44).png,output/garrafa_2/aum_mask_(44).png
90,142.0,147.0,516.0,269.0,45.0,images/garrafa_2/garrafa2(45).png,output/garrafa_2/mask_(45).png
91,281.6,135.8,416.2,179.7,45.0,output/garrafa_2/aum_(45).png,output/garrafa_2/aum_mask_(45).png
92,133.0,150.0,506.0,270.0,46.0,images/garrafa_2/garrafa2(46).png,output/garrafa_2/mask_(46).png
93,350.6,144.2,518.4,198.2,46.0,output/garrafa_2/aum_(46).png,output/garrafa_2/aum_mask_(46).png
94,132.0,156.0,499.0,273.0,47.0,images/garrafa_2/garrafa2(47).png,output/garrafa_2/mask_(47).png
95,208.6,187.6,300.4,216.9,47.0,output/garrafa_2/aum_(47).png,output/garrafa_2/aum_mask_(47).png
96,122.0,160.0,486.0,275.0,48.0,images/garrafa_2/garrafa2(48).png,output/garrafa_2/mask_(48).png
97,152.9,146.8,353.1,210.0,48.0,output/garrafa_2/aum_(48).png,output/garrafa_2/aum_mask_(48).png
98,125.0,166.0,488.0,280.0,49.0,images/garrafa_2/garrafa2(49).png,output/garrafa_2/mask_(49).png
99,173.2,179.0,481.7,275.9,49.0,output/garrafa_2/aum_(49).png,output/garrafa_2/aum_mask_(49).png
100,122.0,171.0,491.0,288.0,50.0,images/garrafa_2/garrafa2(50).png,output/garrafa_2/mask_(50).png
101,204.1,213.5,288.9,240.5,50.0,output/garrafa_2/aum_(50).png,output/garrafa_2/aum_mask_(50).png
102,119.0,182.0,487.0,293.0,51.0,images/garrafa_2/garrafa2(51).png,output/garrafa_2/mask_(51).png
103,216.3,176.6,381.9,226.6,51.0,output/garrafa_2/aum_(51).png,output/garrafa_2/aum_mask_(51).png
104,121.0,187.0,488.0,299.0,52.0,images/garrafa_2/garrafa2(52).png,output/garrafa_2/mask_(52).png
105,201.3,226.5,395.8,285.8,52.0,output/garrafa_2/aum_(52).png,output/garrafa_2/aum_mask_(52).png
106,110.0,190.0,479.0,305.0,53.0,images/garrafa_2/garrafa2(53).png,output/garrafa_2/mask_(53).png
107,318.3,219.1,443.7,258.2,53.0,output/garrafa_2/aum_(53).png,output/garrafa_2/aum_mask_(53).png
108,109.0,195.0,484.0,310.0,54.0,images/garrafa_2/garrafa2(54).png,output/garrafa_2/mask_(54).png
109,130.6,175.8,306.8,229.8,54.0,output/garrafa_2/aum_(54).png,output/garrafa_2/aum_mask_(54).png
110,111.0,195.0,488.0,310.0,55.0,images/garrafa_2/garrafa2(55).png,output/garrafa_2/mask_(55).png
111,310.3,255.5,408.3,285.4,55.0,output/garrafa_2/aum_(55).png,output/garrafa_2/aum_mask_(55).png
112,106.0,187.0,486.0,305.0,56.0,images/garrafa_2/garrafa2(56).png,output/garrafa_2/mask_(56).png
113,97.7,155.4,344.7,232.1,56.0,output/garrafa_2/aum_(56).png,output/garrafa_2/aum_mask_(56).png
114,107.0,183.0,486.0,299.0,57.0,images/garrafa_2/garrafa2(57).png,output/garrafa_2/mask_(57).png
115,109.0,114.4,427.4,211.9,57.0,output/garrafa_2/aum_(57).png,output/garrafa_2/aum_mask_(57).png
116,100.0,177.0,491.0,299.0,58.0,images/garrafa_2/garrafa2(58).png,output/garrafa_2/mask_(58).png
117,262.2,250.0,489.0,320.8,58.0,output/garrafa_2/aum_(58).png,output/garrafa_2/aum_mask_(58).png
118,104.0,174.0,495.0,294.0,59.0,images/garrafa_2/garrafa2(59).png,output/garrafa_2/mask_(59).png
119,246.2,127.6,379.2,168.4,59.0,output/garrafa_2/aum_(59).png,output/garrafa_2/aum_mask_(59).png
120,110.0,163.0,492.0,280.0,60.0,images/garrafa_2/garrafa2(60).png,output/garrafa_2/mask_(60).png
121,233.9,166.2,379.0,210.7,60.0,output/garrafa_2/aum_(60).png,output/garrafa_2/aum_mask_(60).png
122,113.0,145.0,504.0,261.0,61.0,images/garrafa_2/garrafa2(61).png,output/garrafa_2/mask_(61).png
123,6.3,88.4,381.6,199.7,61.0,output/garrafa_2/aum_(61).png,output/garrafa_2/aum_mask_(61).png
124,104.0,130.0,504.0,252.0,62.0,images/garrafa_2/garrafa2(62).png,output/garrafa_2/mask_(62).png
125,199.1,227.2,363.1,277.2,62.0,output/garrafa_2/aum_(62).png,output/garrafa_2/aum_mask_(62).png
126,210.0,138.0,488.0,249.0,63.0,images/garrafa_2/garrafa2(63).png,output/garrafa_2/mask_(63).png
127,288.5,99.4,463.7,169.3,63.0,output/garrafa_2/aum_(63).png,output/garrafa_2/aum_mask_(63).png
128,98.0,133.0,486.0,247.0,64.0,images/garrafa_2/garrafa2(64).png,output/garrafa_2/mask_(64).png
129,106.2,137.2,401.0,223.8,64.0,output/garrafa_2/aum_(64).png,output/garrafa_2/aum_mask_(64).png
130,105.0,119.0,481.0,235.0,65.0,images/garrafa_2/garrafa2(65).png,output/garrafa_2/mask_(65).png
131,301.7,203.8,399.5,233.9,65.0,output/garrafa_2/aum_(65).png,output/garrafa_2/aum_mask_(65).png
132,90.0,109.0,478.0,225.0,66.0,images/garrafa_2/garrafa2(66).png,output/garrafa_2/mask_(66).png
133,-13.6,96.6,343.3,203.4,66.0,output/garrafa_2/aum_(66).png,output/garrafa_2/aum_mask_(66).png
134,89.0,105.0,469.0,223.0,67.0,images/garrafa_2/garrafa2(67).png,output/garrafa_2/mask_(67).png
135,383.9,218.9,478.9,248.4,67.0,output/garrafa_2/aum_(67).png,output/garrafa_2/aum_mask_(67).png
136,84.0,110.0,474.0,228.0,68.0,images/garrafa_2/garrafa2(68).png,output/garrafa_2/mask_(68).png
137,173.2,140.5,352.6,194.8,68.0,output/garrafa_2/aum_(68).png,output/garrafa_2/aum_mask_(68).png
138,91.0,117.0,467.0,229.0,69.0,images/garrafa_2/garrafa2(69).png,output/garrafa_2/mask_(69).png
139,78.7,84.8,432.2,190.0,69.0,output/garrafa_2/aum_(69).png,output/garrafa_2/aum_mask_(69).png
140,83.0,121.0,472.0,238.0,70.0,images/garrafa_2/garrafa2(70).png,output/garrafa_2/mask_(70).png
141,303.1,207.2,478.1,259.8,70.0,output/garrafa_2/aum_(70).png,output/garrafa_2/aum_mask_(70).png
142,85.0,125.0,474.0,241.0,71.0,images/garrafa_2/garrafa2(71).png,output/garrafa_2/mask_(71).png
143,198.9,121.1,408.9,183.7,71.0,output/garrafa_2/aum_(71).png,output/garrafa_2/aum_mask_(71).png
144,78.0,142.0,462.0,251.0,72.0,images/garrafa_2/garrafa2(72).png,output/garrafa_2/mask_(72).png
145,104.5,177.1,354.1,248.0,72.0,output/garrafa_2/aum_(72).png,output/garrafa_2/aum_mask_(72).png
146,68.0,150.0,441.0,260.0,73.0,images/garrafa_2/garrafa2(73).png,output/garrafa_2/mask_(73).png
147,267.7,111.7,353.4,137.0,73.0,output/garrafa_2/aum_(73).png,output/garrafa_2/aum_mask_(73).png
148,54.0,166.0,423.0,273.0,74.0,images/garrafa_2/garrafa2(74).png,output/garrafa_2/mask_(74).png
149,221.3,142.5,357.8,182.1,74.0,output/garrafa_2/aum_(74).png,output/garrafa_2/aum_mask_(74).png
150,39.0,176.0,406.0,286.0,75.0,images/garrafa_2/garrafa2(75).png,output/garrafa_2/mask_(75).png
151,191.0,218.7,275.4,244.0,75.0,output/garrafa_2/aum_(75).png,output/garrafa_2/aum_mask_(75).png
152,10.0,180.0,386.0,293.0,76.0,images/garrafa_2/garrafa2(76).png,output/garrafa_2/mask_(76).png
153,87.1,136.7,260.1,188.7,76.0,output/garrafa_2/aum_(76).png,output/garrafa_2/aum_mask_(76).png
154,0.0,163.0,364.0,277.0,77.0,images/garrafa_2/garrafa2(77).png,output/garrafa_2/mask_(77).png
155,134.5,217.6,396.5,299.7,77.0,output/garrafa_2/aum_(77).png,output/garrafa_2/aum_mask_(77).png
156,0.0,133.0,366.0,254.0,78.0,images/garrafa_2/garrafa2(78).png,output/garrafa_2/mask_(78).png
157,95.9,89.0,352.0,173.6,78.0,output/garrafa_2/aum_(78).png,output/garrafa_2/aum_mask_(78).png
158,0.0,108.0,386.0,232.0,79.0,images/garrafa_2/garrafa2(79).png,output/garrafa_2/mask_(79).png
159,95.3,167.5,257.4,219.6,79.0,output/garrafa_2/aum_(79).png,output/garrafa_2/aum_mask_(79).png
160,30.0,92.0,418.0,219.0,80.0,images/garrafa_2/garrafa2(80).png,output/garrafa_2/mask_(80).png
161,218.6,124.0,482.5,210.4,80.0,output/garrafa_2/aum_(80).png,output/garrafa_2/aum_mask_(80).png
162,66.0,83.0,445.0,215.0,81.0,images/garrafa_2/garrafa2(81).png,output/garrafa_2/mask_(81).png
163,-0.5,100.5,325.4,214.0,81.0,output/garrafa_2/aum_(81).png,output/garrafa_2/aum_mask_(81).png
164,93.0,85.0,473.0,218.0,82.0,images/garrafa_2/garrafa2(82).png,output/garrafa_2/mask_(82).png
165,149.3,31.7,510.3,158.1,82.0,output/garrafa_2/aum_(82).png,output/garrafa_2/aum_mask_(82).png
166,109.0,96.0,482.0,222.0,83.0,images/garrafa_2/garrafa2(83).png,output/garrafa_2/mask_(83).png
167,145.6,137.6,283.6,184.2,83.0,output/garrafa_2/aum_(83).png,output/garrafa_2/aum_mask_(83).png
168,116.0,103.0,480.0,231.0,84.0,images/garrafa_2/garrafa2(84).png,output/garrafa_2/mask_(84).png
169,122.3,110.5,246.1,154.0,84.0,output/garrafa_2/aum_(84).png,output/garrafa_2/aum_mask_(84).png
170,129.0,114.0,480.0,233.0,85.0,images/garrafa_2/garrafa2(85).png,output/garrafa_2/mask_(85).png
171,342.4,91.4,525.0,153.3,85.0,output/garrafa_2/aum_(85).png,output/garrafa_2/aum_mask_(85).png
172,133.0,120.0,478.0,238.0,86.0,images/garrafa_2/garrafa2(86).png,output/garrafa_2/mask_(86).png
173,309.2,142.8,481.8,201.8,86.0,output/garrafa_2/aum_(86).png,output/garrafa_2/aum_mask_(86).png
174,133.0,121.0,482.0,238.0,87.0,images/garrafa_2/garrafa2(87).png,output/garrafa_2/mask_(87).png
175,206.0,162.9,478.2,254.1,87.0,output/garrafa_2/aum_(87).png,output/garrafa_2/aum_mask_(87).png
176,103.0,59.0,394.0,155.0,88.0,images/garrafa_2/garrafa2(88).png,output/garrafa_2/mask_(88).png
177,189.1,63.6,372.4,124.1,88.0,output/garrafa_2/aum_(88).png,output/garrafa_2/aum_mask_(88).png
178,103.0,60.0,393.0,155.0,89.0,images/garrafa_2/garrafa2(89).png,output/garrafa_2/mask_(89).png
179,89.3,134.1,303.9,204.4,89.0,output/garrafa_2/aum_(89).png,output/garrafa_2/aum_mask_(89).png
180,104.0,56.0,394.0,151.0,90.0,images/garrafa_2/garrafa2(90).png,output/garrafa_2/mask_(90).png
181,63.2,-2.1,330.0,85.3,90.0,output/garrafa_2/aum_(90).png,output/garrafa_2/aum_mask_(90).png
182,104.0,50.0,398.0,145.0,91.0,images/garrafa_2/garrafa2(91).png,output/garrafa_2/mask_(91).png
183,327.2,60.6,465.4,105.3,91.0,output/garrafa_2/aum_(91).png,output/garrafa_2/aum_mask_(91).png
184,107.0,46.0,403.0,141.0,92.0,images/garrafa_2/garrafa2(92).png,output/garrafa_2/mask_(92).png
185,238.2,158.8,315.2,183.5,92.0,output/garrafa_2/aum_(92).png,output/garrafa_2/aum_mask_(92).png
186,109.0,45.0,403.0,139.0,93.0,images/garrafa_2/garrafa2(93).png,output/garrafa_2/mask_(93).png
187,183.4,111.9,409.8,184.3,93.0,output/garrafa_2/aum_(93).png,output/garrafa_2/aum_mask_(93).png
188,104.0,42.0,400.0,137.0,94.0,images/garrafa_2/garrafa2(94).png,output/garrafa_2/mask_(94).png
189,115.2,0.2,369.7,81.9,94.0,output/garrafa_2/aum_(94).png,output/garrafa_2/aum_mask_(94).png
190,99.0,45.0,402.0,142.0,95.0,images/garrafa_2/garrafa2(95).png,output/garrafa_2/mask_(95).png
191,283.7,154.9,429.1,201.5,95.0,output/garrafa_2/aum_(95).png,output/garrafa_2/aum_mask_(95).png
192,95.0,43.0,401.0,141.0,96.0,images/garrafa_2/garrafa2(96).png,output/garrafa_2/mask_(96).png
193,34.4,31.6,309.8,119.8,96.0,output/garrafa_2/aum_(96).png,output/garrafa_2/aum_mask_(96).png
194,92.0,46.0,396.0,147.0,97.0,images/garrafa_2/garrafa2(97).png,output/garrafa_2/mask_(97).png
195,43.6,63.7,241.2,129.4,97.0,output/garrafa_2/aum_(97).png,output/garrafa_2/aum_mask_(97).png
196,89.0,52.0,397.0,152.0,98.0,images/garrafa_2/garrafa2(98).png,output/garrafa_2/mask_(98).png
197,35.0,122.8,312.2,212.8,98.0,output/garrafa_2/aum_(98).png,output/garrafa_2/aum_mask_(98).png
198,87.0,55.0,402.0,156.0,99.0,images/garrafa_2/garrafa2(99).png,output/garrafa_2/mask_(99).png
199,112.8,109.2,245.2,151.6,99.0,output/garrafa_2/aum_(99).png,output/garrafa_2/aum_mask_(99).png
200,94.0,57.0,416.0,158.0,100.0,images/garrafa_2/garrafa2(100).png,output/garrafa_2/mask_(100).png
201,58.1,57.4,302.8,134.2,100.0,output/garrafa_2/aum_(100).png,output/garrafa_2/aum_mask_(100).png
202,100.0,60.0,419.0,163.0,101.0,images/garrafa_2/garrafa2(101).png,output/garrafa_2/mask_(101).png
203,243.2,160.2,428.2,219.9,101.0,output/garrafa_2/aum_(101).png,output/garrafa_2/aum_mask_(101).png
204,105.0,71.0,418.0,174.0,102.0,images/garrafa_2/garrafa2(102).png,output/garrafa_2/mask_(102).png
205,77.9,144.5,262.6,205.3,102.0,output/garrafa_2/aum_(102).png,output/garrafa_2/aum_mask_(102).png
206,105.0,82.0,425.0,189.0,103.0,images/garrafa_2/garrafa2(103).png,output/garrafa_2/mask_(103).png
207,336.4,159.2,426.0,189.2,103.0,output/garrafa_2/aum_(103).png,output/garrafa_2/aum_mask_(103).png
208,101.0,93.0,423.0,202.0,104.0,images/garrafa_2/garrafa2(104).png,output/garrafa_2/mask_(104).png
209,186.1,171.5,401.8,244.6,104.0,output/garrafa_2/aum_(104).png,output/garrafa_2/aum_mask_(104).png
210,95.0,102.0,421.0,212.0,105.0,images/garrafa_2/garrafa2(105).png,output/garrafa_2/mask_(105).png
211,95.9,183.3,382.8,280.1,105.0,output/garrafa_2/aum_(105).png,output/garrafa_2/aum_mask_(105).png
212,92.0,106.0,422.0,217.0,106.0,images/garrafa_2/garrafa2(106).png,output/garrafa_2/mask_(106).png
213,106.5,83.6,406.8,184.6,106.0,output/garrafa_2/aum_(106).png,output/garrafa_2/aum_mask_(106).png
214,91.0,109.0,421.0,222.0,107.0,images/garrafa_2/garrafa2(107).png,output/garrafa_2/mask_(107).png
215,-12.7,182.6,290.9,286.6,107.0,output/garrafa_2/aum_(107).png,output/garrafa_2/aum_mask_(107).png
216,83.0,113.0,420.0,229.0,108.0,images/garrafa_2/garrafa2(108).png,output/garrafa_2/mask_(108).png
217,168.2,153.6,410.9,237.1,108.0,output/garrafa_2/aum_(108).png,output/garrafa_2/aum_mask_(108).png
218,91.0,123.0,425.0,236.0,109.0,images/garrafa_2/garrafa2(109).png,output/garrafa_2/mask_(109).png
219,282.2,115.2,449.2,171.8,109.0,output/garrafa_2/aum_(109).png,output/garrafa_2/aum_mask_(109).png
220,85.0,132.0,428.0,247.0,110.0,images/garrafa_2/garrafa2(110).png,output/garrafa_2/mask_(110).png
221,229.6,161.8,407.9,221.6,110.0,output/garrafa_2/aum_(110).png,output/garrafa_2/aum_mask_(110).png
222,96.0,149.0,428.0,261.0,111.0,images/garrafa_2/garrafa2(111).png,output/garrafa_2/mask_(111).png
223,114.8,154.2,237.6,195.7,111.0,output/garrafa_2/aum_(111).png,output/garrafa_2/aum_mask_(111).png
224,99.0,164.0,424.0,278.0,112.0,images/garrafa_2/garrafa2(112).png,output/garrafa_2/mask_(112).png
225,107.2,146.8,269.8,203.8,112.0,output/garrafa_2/aum_(112).png,output/garrafa_2/aum_mask_(112).png
226,102.0,183.0,430.0,298.0,113.0,images/garrafa_2/garrafa2(113).png,output/garrafa_2/mask_(113).png
227,158.6,253.7,362.0,325.0,113.0,output/garrafa_2/aum_(113).png,output/garrafa_2/aum_mask_(113).png
228,96.0,205.0,426.0,318.0,114.0,images/garrafa_2/garrafa2(114).png,output/garrafa_2/mask_(114).png
229,228.2,238.1,429.5,307.0,114.0,output/garrafa_2/aum_(114).png,output/garrafa_2/aum_mask_(114).png
230,101.0,215.0,418.0,329.0,115.0,images/garrafa_2/garrafa2(115).png,output/garrafa_2/mask_(115).png
231,96.8,225.4,382.2,328.0,115.0,output/garrafa_2/aum_(115).png,output/garrafa_2/aum_mask_(115).png
232,89.0,219.0,419.0,332.0,116.0,images/garrafa_2/garrafa2(116).png,output/garrafa_2/mask_(116).png
233,88.7,268.3,346.1,356.5,116.0,output/garrafa_2/aum_(116).png,output/garrafa_2/aum_mask_(116).png
234,83.0,214.0,407.0,328.0,117.0,images/garrafa_2/garrafa2(117).png,output/garrafa_2/mask_(117).png
235,27.2,248.1,296.1,342.8,117.0,output/garrafa_2/aum_(117).png,output/garrafa_2/aum_mask_(117).png
236,62.0,210.0,405.0,321.0,118.0,images/garrafa_2/garrafa2(118).png,output/garrafa_2/mask_(118).png
237,297.2,170.1,472.1,226.7,118.0,output/garrafa_2/aum_(118).png,output/garrafa_2/aum_mask_(118).png
